algoritmo;dataset;query;tree_leaves_time;external_keys_time;case1_time;case2_time;case3_time;total_time;memory;tree_leaves_time_perc;external_keys_time_perc;case1_time_perc;case2_time_perc;case3_time_perc
PGKEYMAKER;synthea_200;2;7.99;0.0;0.0;105.45;14.95;128.39;555.6;6.22;0.0;0.0;82.13;11.64
PGKEYMAKER;synthea_200;3;14.85;0.0;0.0;28.62;1.53;45.0;308.64;33.0;0.0;0.0;63.6;3.4
PGKEYMAKER;synthea_200;4;10.02;0.0;0.0;68.64;7.83;86.49;512.05;11.59;0.0;0.0;79.36;9.05
PGKEYMAKER;synthea_200;5;12.22;0.0;0.0;15.68;1.17;29.07;275.24;42.04;0.0;0.0;53.94;4.02
PGKEYMAKER;synthea_200;6;9.87;0.0;0.0;61.84;7.16;78.87;424.38;12.51;0.0;0.0;78.41;9.08
PGKEYMAKER;synthea_200;7;11.38;0.0;0.0;30.69;2.09;44.16;358.7;25.77;0.0;0.0;69.5;4.73
PGKEYMAKER;synthea_200;8;9.09;0.0;0.0;83.46;10.72;103.27;594.36;8.8;0.0;0.0;80.82;10.38
PGKEYMAKER;synthea_300;1;14.82;0.0;0.0;20.6;1.72;37.14;349.53;39.9;0.0;0.0;55.47;4.63
PGKEYMAKER;synthea_300;2;14.21;0.0;0.0;106.08;11.2;131.49;610.7;10.81;0.0;0.0;80.68;8.52
PGKEYMAKER;synthea_300;3;14.42;0.0;0.0;51.33;4.46;70.21;535.0;20.54;0.0;0.0;73.11;6.35
PGKEYMAKER;synthea_300;4;10.53;0.0;0.0;116.06;21.1;147.69;644.14;7.13;0.0;0.0;78.58;14.29
PGKEYMAKER;synthea_300;5;13.98;0.0;0.0;12.8;1.24;28.02;287.41;49.89;0.0;0.0;45.68;4.43
PGKEYMAKER;synthea_300;6;13.35;0.0;0.0;82.67;9.04;105.06;458.28;12.71;0.0;0.0;78.69;8.6
PGKEYMAKER;synthea_300;7;13.62;0.0;0.0;27.87;2.37;43.86;393.54;31.05;0.0;0.0;63.54;5.4
PGKEYMAKER;synthea_300;8;13.29;0.0;0.0;120.19;13.89;147.37;681.17;9.02;0.0;0.0;81.56;9.43
PGKEYMAKER;synthea_400;1;18.7;134.93;0.0;33.4;3.73;190.76;407.71;9.8;70.73;0.0;17.51;1.96
PGKEYMAKER;synthea_400;2;14.28;141.38;0.0;95.54;12.01;263.21;682.33;5.43;53.71;0.0;36.3;4.56
PGKEYMAKER;synthea_400;3;17.83;144.45;0.0;96.83;11.6;270.71;730.04;6.59;53.36;0.0;35.77;4.29
PGKEYMAKER;synthea_400;4;14.8;141.56;0.0;100.61;20.62;277.59;689.66;5.33;51.0;0.0;36.24;7.43
PGKEYMAKER;synthea_400;5;15.52;138.62;0.0;40.46;4.99;199.59;427.62;7.78;69.45;0.0;20.27;2.5
PGKEYMAKER;synthea_400;6;14.41;168.63;0.0;68.67;8.53;260.24;474.43;5.54;64.8;0.0;26.39;3.28
PGKEYMAKER;synthea_400;7;15.08;148.69;0.0;66.83;7.82;238.42;497.19;6.32;62.36;0.0;28.03;3.28
